filename,sentnolist,amp_pos,amp_neg,neg_pos,neg_neg,bad_pos,bad_neg,good_pos,good_neg,LMpositivesent,LMnegtivesent,positive_perf,negative_perf,verbose_good,verbose_bad,total_sent_cnt,sentlen
none,66,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,42
none,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
none,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
none,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19
none,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55
none,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
none,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
none,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19
none,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
none,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50
none,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35
none,77,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,44
none,78,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,37
none,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
none,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26
none,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
none,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30
none,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39
none,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,71
none,85,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,67
none,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
none,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
none,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
none,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31
none,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
none,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
none,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48
none,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
none,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51
none,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,91
none,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51
none,97,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,20
none,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50
none,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
none,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18
none,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49
none,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,112
none,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60
none,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43
none,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
none,106,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,15
none,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
none,108,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,42
none,109,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,14
none,110,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,17
none,111,0,0,0,0,0,0,0,0,1,2,0,0,0,3,1,93
none,112,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,14
